os,cpu,gpu,ram,kernel,driver,cpuscheduler,  ,  ,  ,  , ,  ,  ,  ,  , 
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16300712,6.1.12-arch1-1,4.6 Mesa 22.3.6,schedutil,  ,  ,  ,  , 
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
64.6329,15472,7.93651,99,71,66,2380,1000,3.04159,137,5.02466,20380633295
65.1211,15356,7.93651,99,71,66,2380,1000,3.04159,137,5.02466,20480690691
86.798,11521,7.93651,99,71,66,2380,1000,3.04159,137,5.02466,20580747597
69.1659,14458,7.93651,99,71,66,2380,1000,3.04159,137,5.02466,20680805973
64.1849,15580,4.61923,99,69,66,2380,1000,3.0317,136,5.02466,20780866030
64.2343,15568,4.61923,99,69,66,2380,1000,3.0317,136,5.02466,20880923186
34.3879,29080,4.61923,99,69,66,2380,1000,3.0317,136,5.02466,20980983042
84.6812,11809,4.61923,99,69,66,2380,1000,3.0317,136,5.02466,21081042758
70.9673,14091,4.61923,99,69,66,2380,1000,3.0317,136,5.02466,21181100765
73.5889,13589,29.878,99,69,66,2386,1000,3.10744,137,5.02635,21281158861
69.6718,14353,29.878,99,69,66,2386,1000,3.10744,137,5.02635,21381216357
61.546,16248,29.878,99,69,66,2386,1000,3.10744,137,5.02635,21481273523
65.4622,15276,29.878,99,69,66,2386,1000,3.10744,137,5.02635,21581332170
66.4584,15047,29.878,99,69,66,2386,1000,3.10744,137,5.02635,21681389676
70.1607,14253,18.3498,97,69,66,2335,1000,3.04418,136,5.02748,21781448912
64.3459,15541,18.3498,97,69,66,2335,1000,3.04418,136,5.02748,21881506738
66.6711,14999,18.3498,97,69,66,2335,1000,3.04418,136,5.02748,21981565254
81.281,12303,18.3498,97,69,66,2335,1000,3.04418,136,5.02748,22081620861
61.6713,16215,18.3498,97,69,66,2335,1000,3.04418,136,5.02748,22181676277
60.3355,16574,5.12821,99,68,66,2382,1000,2.96933,136,5.02775,22281749203
64.5911,15482,5.12821,99,68,66,2382,1000,2.96933,136,5.02775,22381820459
68.7332,14549,5.12821,99,68,66,2382,1000,2.96933,136,5.02775,22481893656
80.1603,12475,5.12821,99,68,66,2382,1000,2.96933,136,5.02775,22581966522
67.8656,14735,5.12821,99,68,66,2382,1000,2.96933,136,5.02775,22682026368
68.6672,14563,5.43881,99,67,66,2377,1000,3.02601,136,5.02771,22782083634
66.6933,14994,5.43881,99,67,66,2377,1000,3.02601,136,5.02771,22882141701
74.5879,13407,5.43881,99,67,66,2377,1000,3.02601,136,5.02771,22982170057
81.3008,12300,5.43881,99,67,66,2377,1000,3.02601,136,5.02771,23082227933
66.6844,14996,5.43881,99,67,66,2377,1000,3.02601,136,5.02771,23182284689
84.317,11860,5.91862,99,65,66,2371,1000,3.02333,136,5.03137,23282342296
66.5735,15021,5.91862,99,65,66,2371,1000,3.02333,136,5.03137,23382400472
68.8137,14532,5.91862,99,65,66,2371,1000,3.02333,136,5.03137,23482458938
68.0782,14689,5.91862,99,65,66,2371,1000,3.02333,136,5.03137,23582516314
68.3995,14620,5.91862,99,65,66,2371,1000,3.02333,136,5.03137,23682573901
79.1766,12630,8.01001,99,65,66,2366,1000,3.01971,136,5.04097,23782631537
68.5636,14585,8.01001,99,65,66,2366,1000,3.01971,136,5.04097,23882689753
73.5564,13595,8.01001,99,65,66,2366,1000,3.01971,136,5.04097,23982745639
83.5073,11975,8.01001,99,65,66,2366,1000,3.01971,136,5.04097,24082802766
61.6865,16211,8.01001,99,65,66,2366,1000,3.01971,136,5.04097,24182859532
74.7608,13376,10.1485,99,65,66,2364,1000,2.98474,137,5.05129,24282917828
83.1601,12025,10.1485,99,65,66,2364,1000,2.98474,137,5.05129,24382975704
74.5712,13410,10.1485,99,65,66,2364,1000,2.98474,137,5.05129,24483033421
71.9062,13907,10.1485,99,65,66,2364,1000,2.98474,137,5.05129,24583106387
83.3611,11996,10.1485,99,65,66,2364,1000,2.98474,137,5.05129,24683173373
72.5953,13775,4.53431,99,64,66,2365,1000,2.98474,135,5.05152,24783243459
72.1137,13867,4.53431,99,64,66,2365,1000,2.98474,135,5.05152,24883300095
88.1446,11345,4.53431,99,64,66,2365,1000,2.98474,135,5.05152,24983357982
81.1886,12317,4.53431,99,64,66,2365,1000,2.98474,135,5.05152,25083416328
73.6648,13575,4.53431,99,64,66,2365,1000,2.98474,135,5.05152,25183473634
75.0075,13332,6.57568,99,63,66,2364,1000,3.00472,135,5.05151,25283532170
76.3126,13104,6.57568,99,63,66,2364,1000,3.00472,135,5.05151,25383590817
89.0155,11234,6.57568,99,63,66,2364,1000,3.00472,135,5.05151,25483647803
97.5895,10247,6.57568,99,63,66,2364,1000,3.00472,135,5.05151,25583705919
91.7431,10900,6.57568,99,63,66,2364,1000,3.00472,135,5.05151,25683763895
96.965,10313,4.29975,99,62,66,2373,1000,3.00472,135,5.04285,25783822512
88.3626,11317,4.29975,99,62,66,2373,1000,3.00472,135,5.04285,25883880178
65.4493,15279,4.29975,99,62,66,2373,1000,3.00472,135,5.04285,25983942334
63.2071,15821,4.29975,99,62,66,2373,1000,3.00472,135,5.04285,26084007160
63.0875,15851,4.29975,99,62,66,2373,1000,3.00472,135,5.04285,26184064127
62.2859,16055,7.38423,99,62,66,2376,1000,3.01433,136,5.04332,26284121073
61.237,16330,7.38423,99,62,66,2376,1000,3.01433,136,5.04332,26384179079
60.573,16509,7.38423,99,62,66,2376,1000,3.01433,136,5.04332,26484237175
58.1734,17190,7.38423,99,62,66,2376,1000,3.01433,136,5.04332,26584295052
58.9866,16953,7.38423,99,62,66,2376,1000,3.01433,136,5.04332,26684353628
62.6763,15955,5.23039,99,61,67,2377,1000,3.00242,139,5.04356,26784426584
63.5203,15743,5.23039,99,61,67,2377,1000,3.00242,139,5.04356,26884485450
62.7392,15939,5.23039,99,61,67,2377,1000,3.00242,139,5.04356,26984543877
63.2071,15821,5.23039,99,61,67,2377,1000,3.00242,139,5.04356,27084601723
59.2522,16877,5.23039,99,61,67,2377,1000,3.00242,139,5.04356,27184660889
88.6997,11274,5.23039,99,61,67,2377,1000,3.00242,139,5.04356,27284719185
62.4883,16003,8.72236,98,60,67,2375,1000,3.00524,139,5.05217,27384776162
61.282,16318,8.72236,98,60,67,2375,1000,3.00524,139,5.05217,27484834148
64.5369,15495,8.72236,98,60,67,2375,1000,3.00524,139,5.05217,27584893494
