os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,Radeon RX 6700/6700 XT/6750 XT / 6800M/6850M XT,16297384,6.2.2-arch1-1,4.6 Mesa 22.3.6,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
68.6436,14568,39.8758,98,74,67,2414,1000,3.0053,146,6.5414,13172697507
86.3856,11576,26.1283,96,74,67,2380,1000,3.06622,146,6.54135,13272746848
74.549,13414,26.1283,96,74,67,2380,1000,3.06622,146,6.54135,13372799389
89.1266,11220,26.1283,96,74,67,2380,1000,3.06622,146,6.54135,13472849060
62.3675,16034,26.1283,96,74,67,2380,1000,3.06622,146,6.54135,13572898441
67.7461,14761,26.1283,96,74,67,2380,1000,3.06622,146,6.54135,13672948342
80.7298,12387,37.069,97,74,67,2400,1000,3.07217,146,6.53152,13772997703
69.8812,14310,37.069,97,74,67,2400,1000,3.07217,146,6.53152,13873046694
81.8666,12215,37.069,97,74,67,2400,1000,3.07217,146,6.53152,13973096315
82.3249,12147,37.069,97,74,67,2400,1000,3.07217,146,6.53152,14073145706
70.0378,14278,37.069,97,74,67,2400,1000,3.07217,146,6.53152,14173201617
84.0689,11895,32.0482,97,74,67,2394,1000,3.12235,145,6.52802,14273250707
63.2271,15816,32.0482,97,74,67,2394,1000,3.12235,145,6.52802,14373303698
82.7335,12087,32.0482,97,74,67,2394,1000,3.12235,145,6.52802,14473353059
59.8086,16720,32.0482,97,74,67,2394,1000,3.12235,145,6.52802,14573404390
70.2198,14241,32.0482,97,74,67,2394,1000,3.12235,145,6.52802,14673453481
109.266,9152,33.0539,98,74,66,2410,1000,3.07776,146,6.5312,14773503022
63.4478,15761,33.0539,98,74,66,2410,1000,3.07776,146,6.5312,14873553643
77.7544,12861,33.0539,98,74,66,2410,1000,3.07776,146,6.5312,14973603544
83.3472,11998,33.0539,98,74,66,2410,1000,3.07776,146,6.5312,15073654535
74.2832,13462,33.0539,98,74,66,2410,1000,3.07776,146,6.5312,15173706166
93.006,10752,34.0219,96,74,67,2325,1000,3.17571,143,6.53276,15273737977
74.4934,13424,34.0219,96,74,67,2325,1000,3.17571,143,6.53276,15373786528
79.8722,12520,34.0219,96,74,67,2325,1000,3.17571,143,6.53276,15473837598
65.4065,15289,34.0219,96,74,67,2325,1000,3.17571,143,6.53276,15573887029
66.3746,15066,34.0219,96,74,67,2325,1000,3.17571,143,6.53276,15673937760
64.658,15466,29.7561,98,74,67,2401,1000,3.1739,146,6.53815,15773987151
61.3459,16301,29.7561,98,74,67,2401,1000,3.1739,146,6.53815,15874036552
68.0272,14700,29.7561,98,74,67,2401,1000,3.1739,146,6.53815,15974087863
